lkw_id,timestamp,rul_hours
LKW-04,2026-05-23,1512.0
LKW-04,2026-05-24,1488.0
LKW-04,2026-05-25,1464.0
LKW-04,2026-05-26,1440.0
LKW-04,2026-05-27,1416.0
LKW-04,2026-05-28,1392.0
LKW-04,2026-05-29,1368.0
LKW-04,2026-05-30,1344.0
LKW-04,2026-05-31,1320.0
LKW-04,2026-06-01,1296.0
LKW-04,2026-06-02,1272.0
LKW-04,2026-06-03,1248.0
LKW-04,2026-06-04,1224.0
LKW-04,2026-06-05,1200.0
LKW-04,2026-06-06,1176.0
LKW-04,2026-06-07,1152.0
LKW-04,2026-06-08,1128.0
LKW-04,2026-06-09,1104.0
LKW-04,2026-06-10,1080.0
LKW-04,2026-06-11,1056.0
LKW-04,2026-06-12,1032.0
LKW-04,2026-06-13,1008.0
LKW-04,2026-06-14,984.0
LKW-05,2026-05-15,1248.0
LKW-05,2026-05-16,1224.0
LKW-05,2026-05-17,1200.0
LKW-05,2026-05-18,1176.0
LKW-05,2026-05-19,1152.0
LKW-05,2026-05-20,1128.0
LKW-05,2026-05-21,1104.0
LKW-05,2026-05-22,1080.0
LKW-05,2026-05-23,1056.0
LKW-05,2026-05-24,1032.0
LKW-05,2026-05-25,1008.0
LKW-05,2026-05-26,984.0
LKW-05,2026-05-27,960.0
LKW-05,2026-05-28,936.0
LKW-05,2026-05-29,912.0
LKW-05,2026-05-30,864.0
LKW-05,2026-05-31,864.0
LKW-05,2026-06-01,840.0
LKW-05,2026-06-02,816.0
LKW-05,2026-06-03,792.0
LKW-05,2026-06-04,768.0
LKW-05,2026-06-05,744.0
LKW-05,2026-06-06,720.0
LKW-05,2026-06-07,696.0
LKW-05,2026-06-08,672.0
LKW-05,2026-06-09,648.0
LKW-05,2026-06-10,624.0
LKW-05,2026-06-11,600.0
LKW-05,2026-06-12,576.0
LKW-05,2026-06-13,552.0
LKW-05,2026-06-14,528.0
LKW-06,2026-05-15,1968.0
LKW-06,2026-05-16,1968.0
LKW-06,2026-05-17,1944.0
LKW-06,2026-05-18,1920.0
LKW-06,2026-05-19,1896.0
LKW-06,2026-05-20,1872.0
LKW-06,2026-05-21,1848.0
LKW-06,2026-05-22,1824.0
LKW-06,2026-05-23,1800.0
LKW-06,2026-05-24,1776.0
LKW-06,2026-05-25,1752.0
LKW-06,2026-05-26,1728.0
LKW-06,2026-05-27,1704.0
LKW-06,2026-05-28,1680.0
LKW-06,2026-05-29,1656.0
LKW-06,2026-05-30,1632.0
LKW-06,2026-05-31,1608.0
LKW-06,2026-06-01,1584.0
LKW-06,2026-06-02,1560.0
LKW-06,2026-06-03,1536.0
LKW-06,2026-06-04,1524.0
LKW-06,2026-06-05,1488.0
LKW-06,2026-06-06,1464.0
LKW-06,2026-06-07,1440.0
LKW-06,2026-06-08,1416.0
LKW-06,2026-06-09,1392.0
LKW-06,2026-06-10,1368.0
LKW-06,2026-06-11,1344.0
LKW-06,2026-06-12,1320.0
LKW-06,2026-06-13,1296.0
LKW-06,2026-06-14,1272.0
LKW-07,2026-05-15,312.0
LKW-07,2026-05-16,288.0
LKW-07,2026-05-17,264.0
LKW-07,2026-05-18,240.0
LKW-07,2026-05-19,216.0
LKW-07,2026-05-20,192.0
LKW-07,2026-05-21,168.0
LKW-07,2026-05-22,144.0
LKW-07,2026-05-23,120.0
LKW-07,2026-05-24,96.0
LKW-07,2026-05-25,72.0
LKW-07,2026-05-26,48.0
LKW-07,2026-05-27,24.0
LKW-07,2026-05-28,12.0
LKW-07,2026-05-29,12.0
LKW-07,2026-05-30,12.0
LKW-07,2026-05-31,12.0
LKW-07,2026-06-01,12.0
LKW-07,2026-06-02,12.0
LKW-07,2026-06-03,12.0
LKW-07,2026-06-04,12.0
LKW-07,2026-06-05,12.0
LKW-07,2026-06-06,12.0
LKW-07,2026-06-07,12.0
LKW-07,2026-06-08,12.0
LKW-07,2026-06-09,12.0
LKW-07,2026-06-10,12.0
LKW-07,2026-06-11,12.0
LKW-07,2026-06-12,12.0
LKW-07,2026-06-13,12.0
LKW-07,2026-06-14,12.0
LKW-08,2026-05-15,504.0
LKW-08,2026-05-16,480.0
LKW-08,2026-05-17,456.0
LKW-08,2026-05-18,432.0
LKW-08,2026-05-19,408.0
LKW-08,2026-05-20,408.0
LKW-08,2026-05-21,360.0
LKW-08,2026-05-22,336.0
LKW-08,2026-05-23,312.0
LKW-08,2026-05-24,288.0
LKW-08,2026-05-25,264.0
LKW-08,2026-05-26,240.0
LKW-08,2026-05-27,216.0
LKW-08,2026-05-28,192.0
LKW-08,2026-05-29,192.0
LKW-08,2026-05-30,156.0
LKW-08,2026-05-31,120.0
LKW-08,2026-06-01,96.0
LKW-08,2026-06-02,96.0
LKW-08,2026-06-03,48.0
LKW-08,2026-06-04,24.0
LKW-08,2026-06-05,24.0
LKW-08,2026-06-06,12.0
LKW-08,2026-06-07,12.0
LKW-08,2026-06-08,12.0
LKW-08,2026-06-09,12.0
LKW-08,2026-06-10,12.0
LKW-08,2026-06-11,12.0
LKW-08,2026-06-12,12.0
LKW-08,2026-06-13,12.0
LKW-08,2026-06-14,12.0
LKW-09,2026-05-15,552.0
LKW-09,2026-05-16,576.0
LKW-09,2026-05-17,648.0
LKW-09,2026-05-18,984.0
LKW-09,2026-05-19,672.0
LKW-09,2026-05-20,1080.0
LKW-09,2026-05-21,552.0
LKW-09,2026-05-22,528.0
LKW-09,2026-05-23,528.0
LKW-09,2026-05-24,504.0
LKW-09,2026-05-25,468.0
LKW-09,2026-05-26,432.0
LKW-09,2026-05-27,336.0
LKW-09,2026-05-28,408.0
LKW-09,2026-05-29,768.0
LKW-09,2026-05-30,792.0
LKW-09,2026-05-31,360.0
LKW-09,2026-06-01,324.0
LKW-09,2026-06-02,552.0
LKW-09,2026-06-03,696.0
LKW-09,2026-06-04,648.0
LKW-09,2026-06-05,312.0
LKW-09,2026-06-06,336.0
LKW-09,2026-06-07,264.0
LKW-09,2026-06-08,288.0
LKW-09,2026-06-09,360.0
LKW-09,2026-06-10,216.0
LKW-09,2026-06-11,144.0
LKW-09,2026-06-12,144.0
LKW-09,2026-06-13,96.0
LKW-09,2026-06-14,120.0
LKW-10,2026-05-15,336.0
LKW-10,2026-05-16,312.0
LKW-10,2026-05-17,288.0
LKW-10,2026-05-18,264.0
LKW-10,2026-05-19,240.0
LKW-10,2026-05-20,216.0
LKW-10,2026-05-21,192.0
LKW-10,2026-05-22,168.0
LKW-10,2026-05-23,144.0
LKW-10,2026-05-24,120.0
LKW-10,2026-05-25,96.0
LKW-10,2026-05-26,72.0
LKW-10,2026-05-27,48.0
LKW-10,2026-05-28,24.0
LKW-10,2026-05-29,12.0
LKW-10,2026-05-30,12.0
LKW-10,2026-05-31,12.0
LKW-10,2026-06-01,12.0
LKW-10,2026-06-02,12.0
LKW-10,2026-06-03,12.0
LKW-10,2026-06-04,12.0
LKW-10,2026-06-05,12.0
LKW-10,2026-06-06,12.0
LKW-10,2026-06-07,12.0
LKW-10,2026-06-08,12.0
LKW-10,2026-06-09,12.0
LKW-10,2026-06-10,12.0
LKW-10,2026-06-11,12.0
LKW-10,2026-06-12,12.0
LKW-10,2026-06-13,12.0
LKW-10,2026-06-14,12.0
