lkw_id,timestamp,status,brake_fluid_pct,motor_temp_c,oil_pressure_bar,rul_hours
LKW-01,2026-06-13 07:30:00,KRITISCH,49.1,79.3,2.89,12
LKW-01,2026-06-13 08:00:00,KRITISCH,49.1,89.2,1.29,12
LKW-01,2026-06-13 08:30:00,KRITISCH,49.1,76.6,3.13,12
LKW-01,2026-06-13 09:00:00,KRITISCH,49.1,80.1,3.69,12
LKW-01,2026-06-13 09:30:00,KRITISCH,49.1,72.3,2.84,12
LKW-01,2026-06-13 10:00:00,KRITISCH,49.1,86.1,3.8,12
LKW-01,2026-06-13 10:30:00,KRITISCH,49.0,79.2,3.9,12
LKW-01,2026-06-13 11:00:00,KRITISCH,49.0,80.2,3.2,12
LKW-01,2026-06-13 11:30:00,KRITISCH,49.0,83.4,6.01,12
LKW-01,2026-06-13 12:00:00,KRITISCH,49.0,73.9,2.09,12
LKW-01,2026-06-13 12:30:00,KRITISCH,49.0,83.0,2.57,12
LKW-01,2026-06-13 13:00:00,KRITISCH,49.0,74.9,3.88,12
LKW-01,2026-06-13 13:30:00,KRITISCH,48.9,82.8,2.98,12
LKW-01,2026-06-13 14:00:00,KRITISCH,48.9,79.2,1.22,12
LKW-01,2026-06-13 14:30:00,KRITISCH,48.9,76.7,2.99,12
LKW-01,2026-06-13 15:00:00,KRITISCH,48.9,72.2,2.78,12
LKW-01,2026-06-13 15:30:00,KRITISCH,48.9,88.1,2.18,12
LKW-01,2026-06-13 16:00:00,KRITISCH,48.9,81.0,5.11,12
LKW-01,2026-06-13 16:30:00,KRITISCH,48.8,86.9,3.39,12
LKW-01,2026-06-13 17:00:00,KRITISCH,48.8,82.7,2.41,12
LKW-01,2026-06-13 17:30:00,KRITISCH,48.8,76.9,2.58,12
LKW-01,2026-06-13 18:00:00,KRITISCH,48.8,80.1,5.37,12
LKW-01,2026-06-13 18:30:00,KRITISCH,48.8,77.4,3.89,12
LKW-01,2026-06-13 19:00:00,KRITISCH,48.8,90.5,2.98,12
LKW-01,2026-06-13 19:30:00,KRITISCH,48.7,83.3,2.76,12
LKW-01,2026-06-13 20:00:00,KRITISCH,48.7,78.0,4.02,12
LKW-01,2026-06-13 20:30:00,KRITISCH,48.7,88.8,3.17,12
LKW-01,2026-06-13 21:00:00,KRITISCH,48.7,72.7,3.1,12
LKW-01,2026-06-13 21:30:00,KRITISCH,48.7,74.4,2.13,12
LKW-01,2026-06-13 22:00:00,KRITISCH,48.6,82.8,3.76,12
LKW-01,2026-06-13 22:30:00,KRITISCH,48.6,87.1,3.2,12
LKW-01,2026-06-13 23:00:00,KRITISCH,48.6,77.6,3.62,12
LKW-01,2026-06-13 23:30:00,KRITISCH,48.6,86.4,4.0,12
LKW-01,2026-06-14 00:00:00,KRITISCH,48.6,77.4,4.12,12
LKW-01,2026-06-14 00:30:00,KRITISCH,48.6,92.1,2.71,12
LKW-01,2026-06-14 01:00:00,KRITISCH,48.5,89.6,4.46,12
LKW-01,2026-06-14 01:30:00,KRITISCH,48.5,84.8,3.79,12
LKW-01,2026-06-14 02:00:00,KRITISCH,48.5,89.5,1.86,12
LKW-01,2026-06-14 02:30:00,KRITISCH,48.5,76.0,1.42,12
LKW-01,2026-06-14 03:00:00,KRITISCH,48.5,82.9,3.86,12
LKW-01,2026-06-14 03:30:00,KRITISCH,48.5,86.0,1.77,12
LKW-01,2026-06-14 04:00:00,KRITISCH,48.4,76.3,2.67,12
LKW-01,2026-06-14 04:30:00,KRITISCH,48.4,83.8,3.79,12
LKW-01,2026-06-14 05:00:00,KRITISCH,48.4,94.3,2.73,12
LKW-01,2026-06-14 05:30:00,KRITISCH,48.4,74.6,4.82,12
LKW-01,2026-06-14 06:00:00,KRITISCH,48.4,80.9,3.18,12
LKW-01,2026-06-14 06:30:00,KRITISCH,48.4,76.6,3.46,12
LKW-01,2026-06-14 07:00:00,KRITISCH,48.3,80.7,0.94,12
LKW-01,2026-06-14 07:30:00,KRITISCH,48.3,78.0,2.0,12
LKW-01,2026-06-14 08:00:00,KRITISCH,48.3,72.7,3.8,12
LKW-01,2026-06-14 08:30:00,KRITISCH,48.3,75.1,2.6,12
LKW-01,2026-06-14 09:00:00,KRITISCH,48.3,82.2,3.46,12
LKW-01,2026-06-14 09:30:00,KRITISCH,48.3,83.0,2.2,12
LKW-01,2026-06-14 10:00:00,KRITISCH,48.2,84.4,4.68,12
LKW-01,2026-06-14 10:30:00,KRITISCH,48.2,88.8,2.69,12
LKW-01,2026-06-14 11:00:00,KRITISCH,48.2,71.1,2.83,12
LKW-01,2026-06-14 11:30:00,KRITISCH,48.2,79.0,4.23,12
LKW-01,2026-06-14 12:00:00,KRITISCH,48.2,79.4,3.68,12
LKW-01,2026-06-14 12:30:00,KRITISCH,48.2,77.9,5.17,12
LKW-01,2026-06-14 13:00:00,KRITISCH,48.2,74.3,3.82,12
LKW-01,2026-06-14 13:30:00,KRITISCH,48.2,84.2,2.1,12
LKW-01,2026-06-14 14:00:00,KRITISCH,48.1,78.4,3.44,12
LKW-01,2026-06-14 14:30:00,KRITISCH,48.1,88.2,1.68,12
LKW-01,2026-06-14 15:00:00,KRITISCH,48.1,80.2,2.14,12
LKW-01,2026-06-14 15:30:00,KRITISCH,48.1,74.3,4.13,12
LKW-01,2026-06-14 16:00:00,KRITISCH,48.1,81.3,4.47,12
LKW-01,2026-06-14 16:30:00,KRITISCH,48.1,78.5,3.26,12
LKW-01,2026-06-14 17:00:00,KRITISCH,48.1,77.0,0.88,12
LKW-01,2026-06-14 17:30:00,KRITISCH,48.1,98.9,3.44,12
LKW-01,2026-06-14 18:00:00,KRITISCH,48.0,81.3,3.27,12
LKW-01,2026-06-14 18:30:00,KRITISCH,48.0,86.2,3.52,12
LKW-01,2026-06-14 19:00:00,KRITISCH,48.0,77.0,1.97,12
LKW-01,2026-06-14 19:30:00,KRITISCH,48.0,84.9,3.88,12
LKW-01,2026-06-14 20:00:00,KRITISCH,48.0,87.6,3.08,12
LKW-01,2026-06-14 20:30:00,KRITISCH,48.0,78.0,3.41,12
LKW-01,2026-06-14 21:00:00,KRITISCH,48.0,83.7,3.13,12
LKW-01,2026-06-14 21:30:00,KRITISCH,48.0,82.3,3.94,12
LKW-01,2026-06-14 22:00:00,KRITISCH,47.9,79.1,1.94,12
LKW-01,2026-06-14 22:30:00,KRITISCH,47.9,78.2,2.35,12
LKW-01,2026-06-14 23:00:00,KRITISCH,47.9,79.9,3.7,12
LKW-01,2026-06-14 23:30:00,KRITISCH,47.9,83.5,4.38,12
LKW-01,2026-06-15 00:00:00,KRITISCH,47.9,92.2,4.04,12
LKW-01,2026-06-15 00:30:00,KRITISCH,47.9,83.9,1.12,12
LKW-01,2026-06-15 01:00:00,KRITISCH,47.9,86.5,4.36,12
LKW-01,2026-06-15 01:30:00,KRITISCH,47.9,78.7,2.6,12
LKW-01,2026-06-15 02:00:00,KRITISCH,47.8,79.3,3.04,12
LKW-01,2026-06-15 02:30:00,KRITISCH,47.8,80.2,2.73,12
LKW-01,2026-06-15 03:00:00,KRITISCH,47.8,76.4,3.46,12
LKW-01,2026-06-15 03:30:00,KRITISCH,47.8,70.9,0.92,12
LKW-01,2026-06-15 04:00:00,KRITISCH,47.8,82.6,1.87,12
LKW-01,2026-06-15 04:30:00,KRITISCH,47.8,88.6,2.75,12
LKW-01,2026-06-15 05:00:00,KRITISCH,47.8,79.1,4.25,12
LKW-01,2026-06-15 05:30:00,KRITISCH,47.8,78.3,2.95,12
LKW-01,2026-06-15 06:00:00,KRITISCH,47.7,73.6,2.9,12
LKW-01,2026-06-15 06:30:00,KRITISCH,47.7,85.1,3.06,12
LKW-01,2026-06-15 07:00:00,KRITISCH,47.7,77.4,3.23,12
LKW-01,2026-06-15 07:30:00,KRITISCH,47.7,91.1,2.61,12
LKW-01,2026-06-15 08:00:00,KRITISCH,47.7,89.1,4.17,12
LKW-01,2026-06-15 08:30:00,KRITISCH,47.7,83.1,2.78,12
LKW-01,2026-06-15 09:00:00,KRITISCH,47.7,74.9,3.23,12
LKW-01,2026-06-15 09:30:00,KRITISCH,47.7,84.5,3.12,12
LKW-01,2026-06-15 10:00:00,KRITISCH,47.6,88.2,3.57,12
LKW-01,2026-06-15 10:30:00,KRITISCH,47.6,84.5,3.26,12
LKW-01,2026-06-15 11:00:00,KRITISCH,47.6,82.9,3.31,12
LKW-01,2026-06-15 11:30:00,KRITISCH,47.6,76.5,3.71,12
LKW-01,2026-06-15 12:00:00,KRITISCH,47.6,86.4,3.94,12
LKW-01,2026-06-15 12:30:00,KRITISCH,47.6,84.3,3.17,12
LKW-01,2026-06-15 13:00:00,KRITISCH,47.6,82.5,3.35,12
LKW-01,2026-06-15 13:30:00,KRITISCH,47.6,85.9,2.0,12
LKW-01,2026-06-15 14:00:00,KRITISCH,47.5,86.7,2.82,12
LKW-01,2026-06-15 14:30:00,KRITISCH,47.5,75.1,2.7,12
LKW-01,2026-06-15 15:00:00,KRITISCH,47.5,85.5,4.56,12
LKW-01,2026-06-15 15:30:00,KRITISCH,47.5,72.9,3.14,12
LKW-01,2026-06-15 16:00:00,KRITISCH,47.5,74.2,3.33,12
LKW-01,2026-06-15 16:30:00,KRITISCH,47.5,70.2,3.22,12
LKW-01,2026-06-15 17:00:00,KRITISCH,47.5,81.5,3.46,12
LKW-01,2026-06-15 17:30:00,KRITISCH,47.5,89.5,2.78,12
LKW-01,2026-06-15 18:00:00,KRITISCH,47.4,88.5,2.74,12
LKW-01,2026-06-15 18:30:00,KRITISCH,47.4,86.9,4.82,12
LKW-01,2026-06-15 19:00:00,KRITISCH,47.4,84.6,2.51,12
LKW-01,2026-06-15 19:30:00,KRITISCH,47.4,74.2,3.41,12
LKW-01,2026-06-15 20:00:00,KRITISCH,47.4,87.9,2.86,12
LKW-01,2026-06-15 20:30:00,KRITISCH,47.4,73.9,3.57,12
LKW-01,2026-06-15 21:00:00,KRITISCH,47.4,82.7,4.4,12
LKW-01,2026-06-15 21:30:00,KRITISCH,47.4,80.3,3.84,12
LKW-01,2026-06-15 22:00:00,KRITISCH,47.3,82.2,2.74,12
LKW-01,2026-06-15 22:30:00,KRITISCH,47.3,89.6,3.0,12
LKW-01,2026-06-15 23:00:00,KRITISCH,47.3,83.6,1.48,12
LKW-01,2026-06-15 23:30:00,KRITISCH,47.3,82.6,4.93,12
LKW-01,2026-06-16 00:00:00,KRITISCH,47.3,76.5,1.82,12
LKW-01,2026-06-16 00:30:00,KRITISCH,47.3,90.7,2.35,12
LKW-01,2026-06-16 01:00:00,KRITISCH,47.3,80.1,2.7,12
LKW-01,2026-06-16 01:30:00,KRITISCH,47.2,88.5,4.08,12
LKW-01,2026-06-16 02:00:00,KRITISCH,47.2,82.9,4.11,12
LKW-01,2026-06-16 02:30:00,KRITISCH,47.2,81.7,1.4,12
LKW-01,2026-06-16 03:00:00,KRITISCH,47.2,73.7,3.3,12
LKW-01,2026-06-16 03:30:00,KRITISCH,47.2,86.6,3.09,12
LKW-01,2026-06-16 04:00:00,KRITISCH,47.2,74.6,1.11,12
LKW-01,2026-06-16 04:30:00,KRITISCH,47.2,78.4,3.11,12
LKW-01,2026-06-16 05:00:00,KRITISCH,47.2,93.8,2.72,12
LKW-01,2026-06-16 05:30:00,KRITISCH,47.1,69.9,2.55,12
LKW-01,2026-06-16 06:00:00,KRITISCH,47.1,81.1,4.0,12
LKW-01,2026-06-16 06:30:00,KRITISCH,47.1,84.6,3.3,12
LKW-01,2026-06-16 07:00:00,KRITISCH,47.1,81.3,2.68,12
LKW-01,2026-06-16 07:30:00,KRITISCH,47.1,75.9,3.24,12
LKW-01,2026-06-16 08:00:00,KRITISCH,47.1,86.8,3.54,12
LKW-01,2026-06-16 08:30:00,KRITISCH,47.1,79.5,1.5,12
LKW-01,2026-06-16 09:00:00,KRITISCH,47.0,74.5,3.52,12
LKW-01,2026-06-16 09:30:00,KRITISCH,47.0,85.6,4.17,12
LKW-01,2026-06-16 10:00:00,KRITISCH,47.0,75.1,2.18,12
LKW-01,2026-06-16 10:30:00,KRITISCH,47.0,75.8,1.8,12
LKW-01,2026-06-16 11:00:00,KRITISCH,47.0,87.6,3.37,12
LKW-01,2026-06-16 11:30:00,KRITISCH,47.0,78.1,4.41,12
LKW-01,2026-06-16 12:00:00,KRITISCH,47.0,85.9,2.92,12
LKW-01,2026-06-16 12:30:00,KRITISCH,47.0,81.9,2.36,12
LKW-01,2026-06-16 13:00:00,KRITISCH,46.9,84.1,3.12,12
LKW-01,2026-06-16 13:30:00,KRITISCH,46.9,75.7,4.3,12
LKW-01,2026-06-16 14:00:00,KRITISCH,46.9,78.2,3.13,12
LKW-01,2026-06-16 14:30:00,KRITISCH,46.9,89.3,2.98,12
LKW-01,2026-06-16 15:00:00,KRITISCH,46.9,78.6,4.74,12
LKW-01,2026-06-16 15:30:00,KRITISCH,46.9,80.6,3.2,12
LKW-01,2026-06-16 16:00:00,KRITISCH,46.9,82.6,1.24,12
LKW-01,2026-06-16 16:30:00,KRITISCH,46.9,96.6,3.92,12
LKW-01,2026-06-16 17:00:00,KRITISCH,46.8,78.9,4.0,12
LKW-01,2026-06-16 17:30:00,KRITISCH,46.8,94.2,2.43,12
LKW-01,2026-06-16 18:00:00,KRITISCH,46.8,86.3,0.5,12
LKW-01,2026-06-16 18:30:00,KRITISCH,46.8,70.9,2.02,12
LKW-01,2026-06-16 19:00:00,KRITISCH,46.8,86.1,3.47,12
LKW-01,2026-06-16 19:30:00,KRITISCH,46.8,70.9,3.58,12
LKW-01,2026-06-16 20:00:00,KRITISCH,46.8,77.5,3.79,12
LKW-01,2026-06-16 20:30:00,KRITISCH,46.8,94.0,4.91,12
LKW-01,2026-06-16 21:00:00,KRITISCH,46.8,85.3,4.16,12
LKW-01,2026-06-16 21:30:00,KRITISCH,46.7,82.7,3.65,12
LKW-01,2026-06-16 22:00:00,KRITISCH,46.7,97.7,5.49,12
LKW-01,2026-06-16 22:30:00,KRITISCH,46.7,91.2,2.02,12
LKW-01,2026-06-16 23:00:00,KRITISCH,46.7,79.2,2.81,12
LKW-01,2026-06-16 23:30:00,KRITISCH,46.7,82.0,2.87,12
LKW-01,2026-06-17 00:00:00,KRITISCH,46.7,73.5,2.67,12
LKW-01,2026-06-17 00:30:00,KRITISCH,46.7,84.3,3.7,12
LKW-01,2026-06-17 01:00:00,KRITISCH,46.6,82.5,2.28,12
LKW-01,2026-06-17 01:30:00,KRITISCH,46.6,86.1,2.79,12
LKW-01,2026-06-17 02:00:00,KRITISCH,46.6,79.5,2.46,12
LKW-01,2026-06-17 02:30:00,KRITISCH,46.6,72.6,4.57,12
LKW-01,2026-06-17 03:00:00,KRITISCH,46.6,76.7,5.13,12
LKW-01,2026-06-17 03:30:00,KRITISCH,46.6,88.2,2.61,12
LKW-01,2026-06-17 04:00:00,KRITISCH,46.6,75.0,3.86,12
LKW-01,2026-06-17 04:30:00,KRITISCH,46.6,76.5,3.24,12
LKW-01,2026-06-17 05:00:00,KRITISCH,46.5,75.1,1.93,12
LKW-01,2026-06-17 05:30:00,KRITISCH,46.5,74.5,0.5,12
LKW-01,2026-06-17 06:00:00,KRITISCH,46.5,84.5,4.21,12
LKW-01,2026-06-17 06:30:00,KRITISCH,46.5,85.5,4.88,12
LKW-01,2026-06-17 07:00:00,KRITISCH,46.5,81.5,1.79,12
LKW-01,2026-06-17 07:30:00,KRITISCH,46.5,83.0,3.19,12
LKW-01,2026-06-17 08:00:00,KRITISCH,46.5,75.4,3.54,12
LKW-01,2026-06-17 08:30:00,KRITISCH,46.5,79.7,3.6,12
LKW-01,2026-06-17 09:00:00,KRITISCH,46.4,77.1,4.11,12
LKW-01,2026-06-17 09:30:00,KRITISCH,46.4,74.1,4.26,12
LKW-01,2026-06-17 10:00:00,KRITISCH,46.4,83.3,4.74,12
LKW-01,2026-06-17 10:30:00,KRITISCH,46.4,80.6,6.93,12
LKW-01,2026-06-17 11:00:00,KRITISCH,46.4,72.5,3.45,12
LKW-01,2026-06-17 11:30:00,KRITISCH,46.4,67.9,2.75,12
LKW-01,2026-06-17 12:00:00,KRITISCH,46.4,84.7,2.96,12
LKW-01,2026-06-17 12:30:00,KRITISCH,46.4,83.8,2.9,12
LKW-01,2026-06-17 13:00:00,KRITISCH,46.3,85.7,1.08,12
LKW-01,2026-06-17 13:30:00,KRITISCH,46.3,85.9,4.34,12
LKW-01,2026-06-17 14:00:00,KRITISCH,46.3,80.1,4.47,12
LKW-01,2026-06-17 14:30:00,KRITISCH,46.3,85.0,4.1,12
LKW-01,2026-06-17 15:00:00,KRITISCH,46.3,74.6,3.97,12
LKW-01,2026-06-17 15:30:00,KRITISCH,46.3,78.3,3.29,12
LKW-01,2026-06-17 16:00:00,KRITISCH,46.3,80.7,2.32,12
LKW-01,2026-06-17 16:30:00,KRITISCH,46.3,78.2,4.2,12
LKW-01,2026-06-17 17:00:00,KRITISCH,46.2,79.1,2.92,12
LKW-01,2026-06-17 17:30:00,KRITISCH,46.2,80.2,2.97,12
LKW-01,2026-06-17 18:00:00,KRITISCH,46.2,86.1,2.1,12
LKW-01,2026-06-17 18:30:00,KRITISCH,46.2,89.0,3.05,12
LKW-01,2026-06-17 19:00:00,KRITISCH,46.2,75.2,1.63,12
LKW-01,2026-06-17 19:30:00,KRITISCH,46.2,75.5,5.92,12
LKW-01,2026-06-17 20:00:00,KRITISCH,46.2,82.7,1.17,12
LKW-01,2026-06-17 20:30:00,KRITISCH,46.2,92.9,2.21,12
LKW-01,2026-06-17 21:00:00,KRITISCH,46.1,76.0,2.3,12
LKW-01,2026-06-17 21:30:00,KRITISCH,46.1,81.6,2.31,12
LKW-01,2026-06-17 22:00:00,KRITISCH,46.1,78.7,2.39,12
LKW-01,2026-06-17 22:30:00,KRITISCH,46.1,85.8,4.68,12
LKW-01,2026-06-17 23:00:00,KRITISCH,46.1,81.6,3.08,12
LKW-01,2026-06-17 23:30:00,KRITISCH,46.1,77.4,3.71,12
LKW-01,2026-06-18 00:00:00,KRITISCH,46.1,72.2,2.45,12
LKW-01,2026-06-18 00:30:00,KRITISCH,46.0,92.1,2.58,12
LKW-01,2026-06-18 01:00:00,KRITISCH,46.0,79.4,2.92,12
LKW-01,2026-06-18 01:30:00,KRITISCH,46.0,83.4,3.35,12
LKW-01,2026-06-18 02:00:00,KRITISCH,46.0,82.1,4.15,12
LKW-01,2026-06-18 02:30:00,KRITISCH,46.0,79.2,2.15,12
LKW-01,2026-06-18 03:00:00,KRITISCH,46.0,86.2,2.34,12
LKW-01,2026-06-18 03:30:00,KRITISCH,46.0,72.1,3.64,12
LKW-01,2026-06-18 04:00:00,KRITISCH,46.0,79.3,3.88,12
LKW-01,2026-06-18 04:30:00,KRITISCH,46.0,80.7,2.01,12
LKW-01,2026-06-18 05:00:00,KRITISCH,45.9,81.6,3.78,12
LKW-01,2026-06-18 05:30:00,KRITISCH,45.9,82.3,3.29,12
LKW-01,2026-06-18 06:00:00,KRITISCH,45.9,83.8,2.98,12
LKW-01,2026-06-18 06:30:00,KRITISCH,45.9,79.7,2.19,12
LKW-01,2026-06-18 07:00:00,KRITISCH,45.9,70.3,2.3,12
LKW-01,2026-06-18 07:30:00,KRITISCH,45.9,73.8,5.69,12
LKW-01,2026-06-18 08:00:00,KRITISCH,45.9,83.1,2.58,12
LKW-01,2026-06-18 08:30:00,KRITISCH,45.9,80.6,3.42,12
LKW-01,2026-06-18 09:00:00,KRITISCH,45.8,81.8,2.86,12
LKW-01,2026-06-18 09:30:00,KRITISCH,45.8,83.2,2.82,12
LKW-01,2026-06-18 10:00:00,KRITISCH,45.8,76.5,2.46,12
LKW-01,2026-06-18 10:30:00,KRITISCH,45.8,70.7,2.88,12
LKW-01,2026-06-18 11:00:00,KRITISCH,45.8,79.0,2.55,12
LKW-01,2026-06-18 11:30:00,KRITISCH,45.8,87.0,2.24,12
LKW-01,2026-06-18 12:00:00,KRITISCH,45.8,87.2,4.5,12
LKW-01,2026-06-18 12:30:00,KRITISCH,45.7,75.6,4.18,12
LKW-01,2026-06-18 13:00:00,KRITISCH,45.7,80.7,3.68,12
LKW-01,2026-06-18 13:30:00,KRITISCH,45.7,74.4,3.99,12
LKW-01,2026-06-18 14:00:00,KRITISCH,45.7,81.6,3.72,12
LKW-01,2026-06-18 14:30:00,KRITISCH,45.7,78.1,3.27,12
LKW-01,2026-06-18 15:00:00,KRITISCH,45.7,82.3,3.43,12
LKW-01,2026-06-18 15:30:00,KRITISCH,45.7,85.3,3.02,12
LKW-01,2026-06-18 16:00:00,KRITISCH,45.7,86.7,4.52,12
LKW-01,2026-06-18 16:30:00,KRITISCH,45.6,82.2,3.23,12
LKW-01,2026-06-18 17:00:00,KRITISCH,45.6,80.5,3.47,12
LKW-01,2026-06-18 17:30:00,KRITISCH,45.6,69.7,5.87,12
LKW-01,2026-06-18 18:00:00,KRITISCH,45.6,75.6,2.89,12
LKW-01,2026-06-18 18:30:00,KRITISCH,45.6,76.0,5.16,12
LKW-01,2026-06-18 19:00:00,KRITISCH,45.6,83.4,2.87,12
LKW-01,2026-06-18 19:30:00,KRITISCH,45.6,83.9,2.8,12
LKW-01,2026-06-18 20:00:00,KRITISCH,45.6,82.9,3.45,12
LKW-01,2026-06-18 20:30:00,KRITISCH,45.5,75.6,1.76,12
LKW-01,2026-06-18 21:00:00,KRITISCH,45.5,83.2,3.77,12
LKW-01,2026-06-18 21:30:00,KRITISCH,45.5,77.5,1.87,12
LKW-01,2026-06-18 22:00:00,KRITISCH,45.5,76.5,3.2,12
LKW-01,2026-06-18 22:30:00,KRITISCH,45.5,97.9,3.25,12
LKW-01,2026-06-18 23:00:00,KRITISCH,45.5,89.5,2.49,12
LKW-01,2026-06-18 23:30:00,KRITISCH,45.5,81.5,2.74,12
LKW-01,2026-06-19 00:00:00,KRITISCH,45.5,73.6,2.36,12
LKW-01,2026-06-19 00:30:00,KRITISCH,45.4,88.6,3.26,12
LKW-01,2026-06-19 01:00:00,KRITISCH,45.4,83.4,3.38,12
LKW-01,2026-06-19 01:30:00,KRITISCH,45.4,79.8,1.96,12
LKW-01,2026-06-19 02:00:00,KRITISCH,45.4,71.4,4.48,12
LKW-01,2026-06-19 02:30:00,KRITISCH,45.4,75.0,3.73,12
LKW-01,2026-06-19 03:00:00,KRITISCH,45.4,87.6,2.69,12
LKW-01,2026-06-19 03:30:00,KRITISCH,45.4,73.0,1.64,12
LKW-01,2026-06-19 04:00:00,KRITISCH,45.4,72.9,2.05,12
LKW-01,2026-06-19 04:30:00,KRITISCH,45.3,82.0,3.12,12
LKW-01,2026-06-19 05:00:00,KRITISCH,45.3,86.8,0.81,12
LKW-01,2026-06-19 05:30:00,KRITISCH,45.3,84.5,4.77,12
LKW-01,2026-06-19 06:00:00,KRITISCH,45.3,82.1,1.83,12
LKW-01,2026-06-19 06:30:00,KRITISCH,45.3,87.0,3.21,12
LKW-01,2026-06-19 07:00:00,KRITISCH,45.3,75.7,2.74,12
LKW-01,2026-06-19 07:30:00,KRITISCH,45.3,78.2,2.9,12
LKW-01,2026-06-19 08:00:00,KRITISCH,45.3,76.7,2.03,12
LKW-01,2026-06-19 08:30:00,KRITISCH,45.2,74.7,2.88,12
LKW-01,2026-06-19 09:00:00,KRITISCH,45.2,87.5,2.02,12
LKW-01,2026-06-19 09:30:00,KRITISCH,45.2,76.7,3.18,12
LKW-01,2026-06-19 10:00:00,KRITISCH,45.2,92.9,1.26,12
LKW-01,2026-06-19 10:30:00,KRITISCH,45.2,91.7,0.91,12
LKW-01,2026-06-19 11:00:00,KRITISCH,45.2,86.0,3.04,12
LKW-01,2026-06-19 11:30:00,KRITISCH,45.2,74.4,4.92,12
LKW-01,2026-06-19 12:00:00,KRITISCH,45.1,82.3,2.8,12
LKW-01,2026-06-19 12:30:00,KRITISCH,45.1,68.4,1.96,12
LKW-01,2026-06-19 13:00:00,KRITISCH,45.1,83.6,3.48,12
LKW-01,2026-06-19 13:30:00,KRITISCH,45.1,84.6,3.28,12
LKW-01,2026-06-19 14:00:00,KRITISCH,45.1,87.6,3.18,12
LKW-01,2026-06-19 14:30:00,KRITISCH,45.1,80.9,1.51,12
LKW-01,2026-06-19 15:00:00,KRITISCH,45.1,77.1,2.53,12
